63-Eu-151(n,&gamma;) ENDF/B-VII.1
41.0023,246.482
41.0269,305.495
41.0542,392.364
41.0813,504.879
41.1115,667.162
41.1463,904.919
41.1983,1346.15
41.2671,1952.02
41.3118,2219.99
41.3495,2297.92
41.3815,2241.94
41.4163,2064.23
41.4736,1597.56
41.5411,1000.4
41.5783,729.596
41.6099,548.052
41.6359,431.404
41.6605,345.113
41.6851,278.575
41.713,222.341
41.7428,179.651
41.7692,152.964
41.8023,130.632
41.8363,117.355
41.8675,112.012
41.8778,111.49
41.9101,113.433
41.9586,124.691
42.0508,156.032
42.1006,164.078
42.1052,164.161
42.1477,158.975
42.1938,142.161
42.3126,78.9071
42.3558,60.7997
42.3944,49.0189
42.4348,40.6825
42.4752,35.49
42.5259,32.0296
42.5812,30.7994
42.6363,31.5233
42.6913,34.3375
42.7369,39.0652
42.7724,45.2856
42.8035,53.6531
42.8302,64.0371
42.8568,78.553
42.8852,100.009
42.9101,125.477
42.9401,165.779
42.9734,224.462
43.0134,313.599
43.1056,547.68
43.1474,622.969
43.1866,650.762
43.1895,650.89
43.2286,626.594
43.2722,550.181
43.3843,269.016
43.4188,198.707
43.4476,151.81
43.4726,119.879
43.4976,95.0803
43.5226,76.2702
43.5498,61.1995
43.5765,50.5842
43.6076,41.9166
43.6431,35.3237
43.6794,30.9316
43.7274,27.3314
43.785,25.0538
43.8514,24.3211
43.9144,25.4191
43.9564,27.4757
43.9984,31.2475
44.0276,35.4392
44.0602,42.4595
44.0888,51.4604
44.1174,64.1015
44.146,81.4162
44.1763,105.984
44.2113,143.198
44.255,202.475
44.3483,343.633
44.3927,388.347
44.4297,401.01
44.4673,387.719
44.5117,342.494
44.6295,166.832
44.668,120.935
44.7006,91.0308
44.731,70.2572
44.7575,56.7898
44.7878,45.6899
44.8144,38.8562
44.8426,33.7543
44.8736,30.0205
44.9046,27.6845
44.946,26.154
44.9667,25.9571
45.0049,26.5769
45.0402,28.4495
45.0754,31.9499
45.1106,37.62
45.1458,46.0849
45.181,57.8778
45.2238,76.8776
45.3345,137.223
45.3717,152.211
45.414,159.997
45.421,160.178
45.4562,156.223
45.5055,138.914
45.6225,78.8163
45.659,64.1899
45.6942,53.7369
45.7231,47.7608
45.7571,43.3787
45.7964,41.2406
45.8082,41.1189
45.8514,42.4672
45.8926,46.3312
45.9318,52.7728
45.9661,61.5103
46.0004,74.567
46.0298,90.7943
46.056,110.789
46.0834,139.044
46.1109,176.866
46.1392,228.163
46.1709,302.327
46.2089,415.682
46.2784,670.526
46.332,858.33
46.3769,960.465
46.4106,985.292
46.447,956.411
46.4904,855.785
46.6135,427.498
46.6513,323.292
46.6829,257.018
46.7134,211.117
46.7439,181.001
46.7682,166.965
46.7981,160.714
46.8247,164.786
46.8512,178.142
46.8822,206.763
46.9132,251.949
46.9405,308.203
46.9728,397.904
47.0065,520.915
47.0491,717.779
47.1534,1270.98
47.1968,1429.55
47.2393,1485.29
47.2741,1446.92
47.311,1330.43
47.3706,1033.76
47.4434,640.75
47.4828,466.388
47.5168,347.616
47.5466,267.404
47.5765,206.473
47.6063,161.254
47.6368,127.491
47.6687,102.105
47.7042,82.1964
47.7397,68.1252
47.7823,56.1657
47.8334,46.184
47.8895,38.5197
47.9569,32.0277
48.0378,26.6131
48.1344,22.1992
48.2408,18.9031
48.3473,16.651
48.4842,14.759
48.6392,13.5437
48.7943,13.0547
48.846,13.0322
49.001,13.3799
49.156,14.4245
49.2926,16.1165
49.3925,18.0362
49.4924,20.918
49.5716,24.4992
49.629,28.5554
49.6749,33.43
49.7157,39.6738
49.7599,49.3182
49.8041,62.7061
49.8563,83.6214
49.9927,148.079
50.0804,176.998
50.141,197.997
50.1806,223.044
50.2157,260.748
50.2444,307.623
50.2747,377.39
50.3061,475.638
50.3442,633.187
50.3913,883.455
50.4902,1468.47
50.5386,1661.19
50.5795,1716.82
50.6141,1676.11
50.6518,1547.4
50.7139,1207.41
50.793,732.713
50.8348,528.939
50.8691,397.91
50.9003,305.541
50.9322,234.069
50.9588,189.168
50.9877,152.246
51.0182,123.489
51.0486,102.299
51.0851,83.841
51.1308,67.7908
51.1764,56.6273
51.2373,46.3004
51.2981,39.1616
51.359,34.0391
51.4473,28.944
51.5267,25.9953
51.606,24.1953
51.6854,23.404
51.7251,23.3982
51.8125,24.53
51.878,26.9468
51.9235,30.0504
51.9589,33.8456
51.9943,39.5276
52.0298,48.0219
52.0593,58.1305
52.0888,71.8902
52.1207,91.8628
52.1526,118.065
52.1915,159.222
52.2447,229.859
52.3415,370.652
52.4034,437.378
52.4714,477.627
52.6228,514.292
52.6292,514.461
52.6949,496.286
52.7497,444.911
52.8158,345.818
52.8914,222.983
52.9332,168.307
52.9667,135.331
52.9986,113.317
53.0252,101.396
53.0527,94.3354
53.0894,91.4293
53.1353,94.3075
53.2206,102.202
53.2326,102.411
53.2849,98.9979
