20-Ca-44(n,&gamma;) ENDF/B-VII.1
131052.0,0.00721429
131056.0,0.00597268
131061.0,0.00490096
131068.0,0.00399249
131075.0,0.0032794
131084.0,0.00270069
131094.0,0.00222739
131105.0,0.00185657
131120.0,0.00153738
131135.0,0.00130798
131154.0,0.00112276
131178.0,9.70492E-4
131211.0,8.39343E-4
131255.0,7.41058E-4
131322.0,6.69046E-4
131388.0,6.38572E-4
131455.0,6.30328E-4
131563.0,6.54939E-4
131637.0,7.12432E-4
131681.0,7.84406E-4
131712.0,8.67353E-4
131737.0,9.76408E-4
131760.0,0.00112495
131776.0,0.00129996
131790.0,0.00150555
131804.0,0.00181048
131814.0,0.00214899
131822.0,0.00255206
131830.0,0.00306938
131836.0,0.00363658
131842.0,0.00444837
131846.0,0.00536715
131850.0,0.0063388
131853.0,0.00773703
131856.0,0.00953856
131859.0,0.0118183
131861.0,0.0148675
131863.0,0.0186197
131865.0,0.0236129
131868.0,0.0302884
131870.0,0.0390958
131872.0,0.0519423
131875.0,0.0688849
131877.0,0.0932851
131880.0,0.129386
131885.0,0.199563
131892.0,0.296686
131896.0,0.334958
131900.0,0.3482
131903.0,0.337584
131907.0,0.304694
131913.0,0.228158
131919.0,0.139795
131922.0,0.101001
131925.0,0.0738515
131927.0,0.0560566
131930.0,0.0424077
131932.0,0.0325686
131934.0,0.0251357
131936.0,0.0200525
131938.0,0.0161469
131940.0,0.0128054
131943.0,0.0104137
131945.0,0.00848022
131948.0,0.00707945
131951.0,0.00601624
131955.0,0.00495459
131960.0,0.004212
131966.0,0.00347663
131973.0,0.00286809
131981.0,0.00240376
131990.0,0.00201551
132001.0,0.00169452
132015.0,0.00142044
132032.0,0.0012072
132049.0,0.00106495
132074.0,9.30735E-4
132106.0,8.22423E-4
132150.0,7.39956E-4
132204.0,6.8414E-4
132292.0,6.40631E-4
132583.0,6.10848E-4
133154.0,6.38562E-4
134185.0,7.39549E-4
134988.0,8.48381E-4
135390.0,9.28943E-4
135640.0,0.00103498
135715.0,0.00110701
135765.0,0.00119013
135807.0,0.00131056
135841.0,0.00148272
135865.0,0.00168556
135884.0,0.00196076
135898.0,0.00224348
135911.0,0.00267009
135921.0,0.00318471
135930.0,0.00385174
135936.0,0.00456095
135942.0,0.00551946
135946.0,0.00644518
135950.0,0.00778502
135953.0,0.0094503
135956.0,0.0113768
135959.0,0.0141259
135961.0,0.0174326
135963.0,0.02194
135965.0,0.0280869
135968.0,0.0363833
135970.0,0.0458565
135972.0,0.0606918
135974.0,0.0798367
135977.0,0.109833
135980.0,0.152958
135986.0,0.235573
135991.0,0.331628
135996.0,0.385145
136000.0,0.403372
136000.0,0.403286
136004.0,0.389322
136007.0,0.348431
136014.0,0.244587
136019.0,0.157742
136023.0,0.112144
136025.0,0.0841148
136028.0,0.0623565
136030.0,0.0475127
136032.0,0.0361856
136035.0,0.0281019
136037.0,0.0223477
136039.0,0.0180304
136041.0,0.0143554
136044.0,0.011736
136046.0,0.00968036
136050.0,0.00794899
136053.0,0.0067581
136057.0,0.00571609
136062.0,0.00486889
136068.0,0.00406
136076.0,0.00340237
136086.0,0.0028674
136097.0,0.00243829
136111.0,0.00210057
136129.0,0.00182417
136148.0,0.0016315
136180.0,0.00145163
136215.0,0.00134244
136262.0,0.00126825
136341.0,0.00122522
136368.0,0.00122308
136474.0,0.00125947
136545.0,0.00133657
136589.0,0.00142862
136628.0,0.00157924
136654.0,0.00175491
136677.0,0.00201279
136694.0,0.00231331
136707.0,0.00270834
136718.0,0.00318466
136727.0,0.00378138
136735.0,0.0045278
136741.0,0.00536409
136746.0,0.00648368
136749.0,0.00754839
136752.0,0.00903539
136755.0,0.0109283
136758.0,0.013238
136760.0,0.0164891
136763.0,0.0208758
136765.0,0.0265835
136767.0,0.0342997
136769.0,0.0445812
136772.0,0.0581276
136774.0,0.0764593
136776.0,0.102362
136780.0,0.143323
136784.0,0.213387
136791.0,0.329399
136796.0,0.382231
136800.0,0.400222
136800.0,0.400137
136804.0,0.386373
136807.0,0.346031
136814.0,0.244798
136819.0,0.155493
136823.0,0.109767
136826.0,0.0800787
136828.0,0.0610614
136830.0,0.0462921
136833.0,0.0362002
136835.0,0.0287429
136837.0,0.0228187
136839.0,0.0183819
136841.0,0.0146147
136844.0,0.0119406
136846.0,0.0100225
136849.0,0.00829359
136852.0,0.00709192
136856.0,0.00597667
136862.0,0.00502797
136869.0,0.00417898
136877.0,0.00348082
136888.0,0.0029341
136900.0,0.00251704
136914.0,0.00220501
136931.0,0.00195562
136957.0,0.00173049
136993.0,0.00156385
137040.0,0.00145167
137115.0,0.00137878
137240.0,0.00134371
137591.0,0.00139713
138392.0,0.00166417
139243.0,0.00207474
139993.0,0.00258238
140694.0,0.00324221
141295.0,0.00402499
141796.0,0.00489008
142296.0,0.00604512
142797.0,0.00757505
143297.0,0.00964059
143838.0,0.0125678
144979.0,0.0201809
145400.0,0.0218115
145580.0,0.0219884
145940.0,0.021297
146421.0,0.0186904
147362.0,0.0122827
147803.0,0.00996252
147953.0,0.0094909
148003.0,0.00943213
148063.0,0.00973304
148088.0,0.0101725
148106.0,0.010852
148123.0,0.0120856
148134.0,0.0134685
148140.0,0.0149916
148146.0,0.016797
148150.0,0.0191672
148153.0,0.0221098
148156.0,0.0263567
