74-W-186(n,&gamma;) ENDF/B-VII.1
1501.26,26.1452
1501.53,19.2962
1501.76,14.9754
1501.98,11.6445
1502.21,9.1454
1502.43,7.43129
1502.69,5.91139
1502.97,4.72392
1503.29,3.78121
1503.62,3.07665
1504.02,2.45666
1504.48,1.9557
1504.95,1.59532
1505.47,1.29416
1506.12,1.03036
1506.78,0.835967
1507.55,0.67082
1508.44,0.535424
1509.36,0.4346
1510.42,0.350767
1511.54,0.285653
1512.86,0.229944
1514.43,0.182743
1516.08,0.147285
1517.97,0.118013
1519.95,0.0959612
1522.3,0.0771267
1524.9,0.0621045
1527.7,0.0504056
1531.0,0.0405077
