45-Rh-103(n,&gamma;) ENDF/B-VII.1
318.703,61.64
318.782,79.7559
318.864,103.945
318.957,138.185
319.079,195.475
319.414,382.538
319.545,435.927
319.676,457.85
319.689,458.056
319.816,440.795
319.96,385.231
320.315,188.058
320.427,136.804
320.521,102.518
320.609,77.2439
320.683,60.9915
320.759,48.2284
320.841,37.9731
320.923,30.6774
321.006,25.6226
321.088,22.2246
321.17,20.0192
321.29,18.214
321.526,16.7908
321.739,15.3121
321.916,13.1151
322.282,7.46744
322.419,5.80726
322.538,4.70667
322.668,3.84621
322.798,3.25338
322.961,2.75995
323.186,2.32313
323.486,1.94498
323.887,1.60158
324.32,1.35174
324.752,1.18963
325.195,1.1031
325.344,1.09393
325.598,1.10919
325.806,1.16452
325.963,1.2498
326.119,1.40551
326.224,1.57995
326.328,1.85216
326.415,2.19567
326.502,2.69731
326.577,3.30228
326.651,4.12119
326.733,5.33559
326.815,6.95096
326.905,9.24438
327.004,12.4908
327.138,17.9417
327.412,30.1719
327.546,34.3841
327.669,35.9002
327.679,35.9084
327.797,34.6929
327.928,30.8367
328.156,20.7932
328.319,13.7362
328.426,9.97198
328.515,7.47018
328.597,5.67915
328.679,4.31228
328.754,3.37726
328.832,2.64705
328.91,2.11516
328.988,1.73015
329.08,1.41237
329.171,1.19071
329.283,1.00266
329.432,0.835966
329.618,0.699826
329.823,0.598287
330.103,0.503074
330.438,0.425224
330.836,0.361496
331.358,0.303825
332.054,0.251741
332.923,0.207888
334.042,0.169842
335.433,0.13794
336.825,0.115633
338.564,0.0957851
340.801,0.078129
343.156,0.0653269
345.578,0.0561038
348.444,0.0487504
350.355,0.0458843
351.037,0.0455597
351.942,0.0469172
352.283,0.0492558
352.453,0.0519105
352.624,0.0573461
352.752,0.0653302
352.859,0.0766815
352.954,0.0925068
353.041,0.113293
353.127,0.141976
353.214,0.180143
353.31,0.234825
353.429,0.320987
353.76,0.606423
353.897,0.691796
354.026,0.724808
354.039,0.72509
354.17,0.69715
354.299,0.620776
354.668,0.306353
354.781,0.226681
354.879,0.172927
354.966,0.136008
355.042,0.111228
355.119,0.0925891
355.215,0.0761153
355.311,0.0652248
355.426,0.0570666
355.541,0.0522097
355.712,0.0482279
356.053,0.0447511
356.838,0.0422452
357.452,0.0418783
358.544,0.0430495
359.52,0.0465896
360.106,0.0511113
360.497,0.0564975
360.758,0.0625518
360.96,0.0707367
361.103,0.0811908
361.211,0.094458
361.3,0.111849
361.372,0.132181
361.443,0.160656
361.518,0.20227
361.587,0.254148
